Name,Regular Price,Sale Price,Rating,Reviews,Size,Description,Category,Alcohol/Vol,Made In,By,Sugar Content,Varietal,Release Date,Lat,Lon,Savings
 Tom Gore Chardonnay,19.95,17.95,4,-5,  750 ml bottle ,"From second-generation grape farmer Tom Gore, this excellent value in California Chardonnay is creamy and broadly textured, with apple, tropical fruit, butter, toast, and oak spice. Enjoy it tonight with grilled seafood or roast chicken.",White Wine,13%," California,   United States ",Tom Gore,4,Chardonnay/Sauvignon Blanc,,36.7014631,-118.755997,2
 Banfi Principessa Gavia Gavi,19.95,16.95,5,-3,  750 ml bottle ,"Legend suggests that Principessa Gavia, daughter of the King of the Franks, fell in love with a soldier and the two fled to northwest Italy to escape her disapproving father. The village and wine of Gavi are named after her. This refreshing wine shows herbs, mineral and grapefruit notes. A great sipper or aperitif, it will be a fine match for salads, seafood antipasti, or lighter fish dishes.",White Wine,12%," Piedmont,   Italy ",Banfi,3,Cortese,"  April†1,†2022  ",46.067065,8.378351,3
 Quinta da Aveleda Vinho Verde,16,14.5,4.5,-2,  750 ml bottle ,"Pale lemon yellow with green highlights; aromas of nuts, grapefruit and herbs; extra dry, fresh and lively, with a slight spritz, steely mineral notes as well as flavours of lime, herbs and a cleansing touch of yeast on the finish.",White Wine,11.50%,  Portugal ,Quinta Da Aveleda,3,Vinho Verde,,39.6621648,-8.1353519,1.5
 Cave Spring Dry Rose VQA,16.95,14.95,4,-1,  750 ml bottle ,"Light salmon pink colour; floral, pink grapefruit, herbs and jam aromas; extra dry, medium-bodied with grapefruit flavours, balanced acidity and good finish.",Rose Wine,12.50%," Ontario,   Canada ",Cave Spring,2,Rose,,50.000678,-86.000977,2
 Via±a Tarapaca° Reserva Cabernet Sauvignon,14.95,12.95,4.3,-7,  750 ml bottle ,"A bold wine with notes of dark fruit, chocolate and spice with light hints of smoke and prune. A lively, juicy wine of good structure with bold, ripe tannins. Pair with wide range of red meats, burgers or tomato based pasta dishes.",Red Wine,13.50%,  Chile ,Via±a Tarapaca°,4,Cabernet Sauvignon,,-31.7613365,-71.3187697,2
 Barefoot Pinot Grigio,22.95,20.95,4.3,-996,  1500 ml bottle ,"Extremely versatile, food-friendly and enjoyable. Pale lemon colour with floral notes and aromas of pineapple, fresh bread, white melon and peach. On the palate, this is dry, fresh and medium-bodied with flavours of pineapple, melon and peach. The finish is long with refreshing fruity tones.",White Wine,12%," California,   United States ",Barefoot,8,Pinot Grigio,,36.7014631,-118.755997,2
 XOXO Pinot Grigio Chardonnay Sparkling,11.95,10.95,4.7,-3,  750 ml bottle ,"A locally produced sparkler that's light and lively, and easy to enjoy for its high refreshment factor. It shows pleasant aromas of nuts, toast, citrus, herbs and fresh fig. On the palate, it's clean, fresh and dry leading to replayed flavours of nuts, toast, citrus and fig that fill the mouth.",White Sparkling Wine,11.60%,  Canada ,XOXO,21,Sparkling,,61.0666922,-107.991707,1
 Black Cellar Shiraz Cabernet,11.95,10.95,4.1,-7,  750 ml bottle ,"The Black Cellars winemaker explored numerous blends deep within the heart of the cellar until perfection was achieved. The ultimate blend combines upfront flavours of black currant, floral and jammy notes with a touch of mint chocolate and a smooth mouthfeel that exemplifies the mystique of Black Cellar.",Red Wine,13%,  Canada ,Black Cellar,15,Shiraz/Cabernet,,61.0666922,-107.991707,1
 Remo Farina Ripasso Valpolicella Classico Superiore,17.95,15.95,N/A,0,  750 ml bottle ,"Ripasso-style wines are made by fermenting ('re-passing') the wine a second time on dried Amarone grapes; a process that enhances everything from the wine's colour and flavour to its ageability. Farina's Ripasso, with its consistent notes of cherries, licorice, and pepper spice, is a super-popular example of the style. Try it with roast rack of lamb or a grilled-eggplant burger.",Red Wine,13.50%," Veneto,   Italy ",Vintages Collaborative Sku,9,Corvina Blend,"  April†1,†2022  ",45.6476663,11.8665254,2
 Calvet Reserve des Remparts Saint-aâmilion,26.95,24.95,2.4,-7,  750 ml bottle ,"An engaging Right Bank offering, which means it's mostly Merlot with Cabernet Franc in support. Ripe and approachable, with cedar, chocolate and juicy red plum accented by fresh herbs and spice. A classic pairing for lamb with rosemary, but don't be afraid to try it with spare ribs in a sticky sauce.",Red Wine,13%," Bordeaux,   France ",Calvet,2,Merlot,"  April†1,†2022  ",44.841225,-0.5800364,2
